"ID","Prod","Quant","Val","Insp","UnitPrice"
"v566","p777",238,2880,"ok",12.1008403361345
"v566","p777",377,4705,"ok",12.4801061007958
"v5","p777",105,1445,"ok",13.7619047619048
"v441","p777",113,1290,"ok",11.4159292035398
"v564","p777",280,4980,"ok",17.7857142857143
"v496","p777",600,16930,"ok",28.2166666666667
"v497","p777",213,6295,"ok",29.5539906103286
"v545","p777",175,3845,"ok",21.9714285714286
"v447","p777",113,1475,"ok",13.0530973451327
"v546","p777",211,3400,"ok",16.1137440758294
"v440","p777",800,34295,"ok",42.86875
"v534","p777",266,3160,"ok",11.8796992481203
"v442","p777",6758,139445,"ok",20.6340633323468
"v442","p777",655,6325,"ok",9.65648854961832
"v288","p777",1908,48860,"ok",25.6079664570231
"v397","p777",1894,28710,"ok",15.1583949313622
"v397","p777",116,1445,"ok",12.4568965517241
"v566","p777",377,4585,"ok",12.1618037135279
"v567","p777",4227,76065,"ok",17.9950319375444
"v568","p777",111,1970,"ok",17.7477477477477
"v569","p777",530,8080,"ok",15.2452830188679
"v252","p777",420,7885,"ok",18.7738095238095
"v570","p777",127,1230,"ok",9.68503937007874
"v571","p777",1544,26425,"ok",17.1146373056995
"v566","p777",113,1780,"ok",15.7522123893805
"v498","p777",141,1560,"ok",11.063829787234
"v441","p778",127,1435,"ok",11.2992125984252
"v511","p778",133,1220,"ok",9.17293233082707
"v545","p778",111,1625,"ok",14.6396396396396
"v573","p778",119,1240,"ok",10.4201680672269
"v442","p780",719,21135,"ok",29.3949930458971
"v288","p780",780,20625,"ok",26.4423076923077
"v440","p781",113,1625,"ok",14.3805309734513
"v570","p781",113,1445,"ok",12.787610619469
"v566","p782",113,1190,"ok",10.5309734513274
"v578","p782",127,1625,"ok",12.7952755905512
"v518","p782",141,1570,"ok",11.1347517730496
"v265","p782",113,1405,"ok",12.4336283185841
"v506","p783",104,1145,"ok",11.0096153846154
"v442","p783",10300,32340,"ok",3.13980582524272
"v288","p783",1119,86170,"ok",77.0062555853441
"v288","p783",4752,103475,"ok",21.7750420875421
"v294","p784",1488,57695,"ok",38.7735215053763
"v288","p784",569,36240,"ok",63.6906854130053
"v287","p784",12650,48200,"ok",3.8102766798419
"v564","p785",130,1520,"ok",11.6923076923077
"v581","p785",183,5075,"ok",27.7322404371585
"v440","p785",855,11770,"ok",13.766081871345
"v288","p785",16150,91890,"ok",5.68978328173375
"v397","p785",166,3555,"ok",21.4156626506024
"v280","p785",2322,8905,"ok",3.83505598621878
"v498","p785",216,1635,"ok",7.56944444444444
"v440","p785",350,5920,"ok",16.9142857142857
"v577","p785",2022,7800,"ok",3.85756676557863
"v534","p785",666,3555,"ok",5.33783783783784
"v397","p785",333,2150,"ok",6.45645645645646
"v483","p790",113,1180,"ok",10.4424778761062
"v465","p793",23069,73825,"ok",3.20018206250813
"v465","p793",13377,52385,"ok",3.9160499364581
"v606","p800",24416,331400,"ok",13.5730668414155
"v613","p800",13397,37635,"ok",2.80921101739195
"v621","p804",1233,24300,"ok",19.7080291970803
"v624","p804",11746,47900,"ok",4.07798399455134
"v625","p804",45164,189585,"ok",4.19770170932601
"v502","p805",4992,82365,"ok",16.4993990384615
"v502","p805",5139,47385,"ok",9.22066549912434
"v637","p805",12044,40065,"ok",3.32655264031883
"v277","p807",782,5165,"ok",6.60485933503836
"v617","p807",127,1145,"ok",9.01574803149606
"v630","p807",210,2055,"ok",9.78571428571429
"v277","p807",1461,5880,"ok",4.02464065708419
"v642","p807",1224,7315,"ok",5.97630718954248
"v278","p807",135,1575,"ok",11.6666666666667
"v643","p807",1058,2400,"ok",2.26843100189036
"v608","p807",188,3265,"ok",17.3670212765957
"v633","p807",233,1730,"ok",7.42489270386266
"v471","p807",155,1210,"ok",7.80645161290323
"v491","p807",2101,5210,"ok",2.47977153736316
"v589","p807",372,3320,"ok",8.9247311827957
"v455","p807",5322,24395,"ok",4.58380308154829
"v562","p807",261,1370,"ok",5.24904214559387
"v647","p808",46757,58855,"ok",1.25874200654447
"v277","p808",16430,40010,"ok",2.43517954960438
"v621","p810",1799,34705,"ok",19.2912729294052
"v622","p810",7960,26470,"ok",3.32537688442211
"v165","p829",655,55235,"ok",84.3282442748092
"v364","p832",48772,11315,"fraud",0.231997867628967
"v54","p838",495,4295,"ok",8.67676767676768
"v712","p838",3431,15615,"ok",4.55115126785194
"v131","p838",126,1140,"ok",9.04761904761905
"v131","p838",112,1090,"ok",9.73214285714286
"v723","p838",166,1525,"ok",9.18674698795181
"v39","p838",191,1275,"ok",6.67539267015707
"v724","p838",355,2130,"ok",6
"v713","p838",101,1050,"ok",10.3960396039604
"v54","p838",963,4085,"ok",4.24195223260644
"v54","p838",1450,3150,"ok",2.17241379310345
"v152","p838",131,1600,"ok",12.2137404580153
"v426","p848",103,1155,"ok",11.2135922330097
"v364","p848",140100,2135,"fraud",0.0152391149179158
"v455","p856",11211,31000,"ok",2.76514137900277
"v397","p856",11516,30115,"ok",2.61505731156652
"v544","p856",5144,24380,"ok",4.73950233281493
"v280","p856",12877,25555,"ok",1.98454608992778
"v495","p856",47016,94610,"ok",2.0122936872554
"v495","p856",12877,28060,"ok",2.17907897802283
"v210","p861",2766,21885,"ok",7.91214750542299
"v80","p861",6710,33330,"ok",4.9672131147541
"v539","p871",683,3360,"ok",4.9194729136164
"v43","p871",194,1185,"ok",6.10824742268041
"v277","p871",333,3190,"ok",9.57957957957958
"v757","p871",2476,13645,"ok",5.51090468497577
"v418","p871",363,1895,"ok",5.22038567493113
"v360","p871",1766,10760,"ok",6.09286523216308
"v397","p871",377,2585,"ok",6.85676392572944
"v640","p871",281,2020,"ok",7.18861209964413
"v130","p871",4266,21990,"ok",5.15471167369902
"v377","p871",4544,10445,"ok",2.29863556338028
"v771","p871",411,2755,"ok",6.70316301703163
"v281","p871",1225,7195,"ok",5.8734693877551
"v772","p871",1655,5410,"ok",3.26888217522659
"v589","p871",426,3600,"ok",8.45070422535211
"v688","p877",147,1725,"ok",11.734693877551
"v277","p877",488,3475,"ok",7.12090163934426
"v781","p877",100,1185,"ok",11.85
"v782","p877",433,3490,"ok",8.06004618937644
"v5","p877",122,1210,"ok",9.91803278688525
"v562","p877",561,2090,"ok",3.72549019607843
"v805","p888",278,3895,"ok",14.0107913669065
"v474","p888",121,1315,"ok",10.8677685950413
"v806","p888",2322,10150,"ok",4.37123169681309
"v654","p888",735,4305,"ok",5.85714285714286
"v807","p888",566,4255,"ok",7.51766784452297
"v808","p888",15122,54725,"ok",3.61889961645285
"v809","p888",391,5705,"ok",14.5907928388747
"v810","p888",105,1395,"ok",13.2857142857143
"v811","p888",11031,30550,"ok",2.76946786329435
"v671","p888",266,2845,"ok",10.6954887218045
"v15","p888",134,1450,"ok",10.8208955223881
"v423","p888",8312,44495,"ok",5.35310394610202
"v333","p888",2698,18695,"ok",6.92920681986657
"v333","p888",200,1945,"ok",9.725
"v19","p888",180,4970,"ok",27.6111111111111
"v528","p888",162,3610,"ok",22.2839506172839
"v596","p888",222,1970,"ok",8.87387387387387
"v506","p888",110,1230,"ok",11.1818181818182
"v538","p888",808,3790,"ok",4.69059405940594
"v538","p888",4500,14795,"ok",3.28777777777778
"v538","p888",375,3080,"ok",8.21333333333333
"v538","p888",2933,9885,"ok",3.37026934878964
"v812","p888",2047,13425,"ok",6.55837811431363
"v538","p888",900,2875,"ok",3.19444444444444
"v538","p888",3297,8425,"ok",2.5553533515317
"v538","p888",1396,3315,"ok",2.37464183381089
"v813","p888",305,2500,"ok",8.19672131147541
"v814","p888",6991,14120,"ok",2.01973966528394
"v815","p888",6680,18645,"ok",2.79116766467066
"v808","p888",166,1205,"ok",7.25903614457831
"v265","p888",183,1380,"ok",7.54098360655738
"v816","p888",104,1075,"ok",10.3365384615385
"v538","p888",211,1240,"ok",5.87677725118483
"v377","p889",8988,12935,"ok",1.43914107699154
"v828","p889",8433,29030,"ok",3.44242855448832
"v831","p889",11211,15830,"ok",1.41200606547141
"v577","p892",4113,35010,"ok",8.51203501094092
"v772","p895",30933,39100,"ok",1.26402224161898
"v696","p907",304,24915,"ok",81.9572368421053
"v848","p907",4655,36265,"ok",7.7905477980666
"v855","p918",29211,76485,"ok",2.61836294546575
"v545","p918",11113,67295,"ok",6.05552056150454
"v506","p918",38123,166775,"ok",4.37465571964431
"v288","p918",33041,199205,"ok",6.02902454526195
"v397","p918",30855,109805,"ok",3.55874250526657
"v567","p918",36619,170280,"ok",4.65004505857615
"v503","p920",4866,34780,"ok",7.147554459515
"v589","p920",4014,30270,"ok",7.54110612855007
"v483","p926",123933,147240,"ok",1.18806129118153
"v288","p928",13497,91590,"ok",6.78595243387419
"v277","p931",162,1610,"ok",9.93827160493827
"v254","p931",277,2110,"ok",7.6173285198556
"v654","p931",217,1910,"ok",8.80184331797235
"v749","p931",980,8620,"ok",8.79591836734694
"v661","p931",102,1055,"ok",10.343137254902
"v601","p931",288,1055,"ok",3.66319444444444
"v260","p931",123,1400,"ok",11.3821138211382
"v502","p931",528,4290,"ok",8.125
"v671","p931",202,3100,"ok",15.3465346534653
"v488","p931",103,1045,"ok",10.1456310679612
"v667","p931",766,12825,"ok",16.742819843342
"v505","p931",3516,6095,"ok",1.7335039817975
"v23","p931",157,1385,"ok",8.82165605095541
"v151","p931",246,1945,"ok",7.90650406504065
"v596","p931",548,8725,"ok",15.9215328467153
"v873","p931",128,1115,"ok",8.7109375
"v630","p931",588,3740,"ok",6.36054421768707
"v630","p931",141,1135,"ok",8.04964539007092
"v569","p931",113,1045,"ok",9.24778761061947
"v569","p931",116,1170,"ok",10.0862068965517
"v622","p931",1683,4985,"ok",2.96197266785502
"v375","p931",122,1135,"ok",9.30327868852459
"v477","p931",271,3000,"ok",11.070110701107
"v252","p931",12533,22710,"ok",1.81201627702864
"v698","p931",3628,2150,"ok",0.592613009922823
"v608","p931",154,1580,"ok",10.2597402597403
"v606","p931",4071,19975,"ok",4.90665684107099
"v634","p931",113,1040,"ok",9.20353982300885
"v464","p931",100,1010,"ok",10.1
"v355","p931",1288,1960,"ok",1.52173913043478
"v589","p931",807,2455,"ok",3.04213135068154
"v765","p931",113,1030,"ok",9.11504424778761
"v631","p931",2461,5060,"ok",2.05607476635514
"v610","p931",333,1645,"ok",4.93993993993994
"v610","p931",433,2120,"ok",4.89607390300231
"v10","p931",355,2720,"ok",7.66197183098592
"v651","p931",313,1610,"ok",5.14376996805112
"v562","p931",200,1145,"ok",5.725
"v880","p936",25655,3105,"fraud",0.12102903917365
"v880","p936",300100,44475,"fraud",0.148200599800067
"v882","p936",100,1030,"ok",10.3
"v251","p943",25850,43105,"ok",1.66750483558994
"v889","p949",6663,30265,"ok",4.54224823653009
"v699","p949",4466,25100,"ok",5.62024182713838
"v294","p952",8100,37925,"ok",4.6820987654321
"v502","p952",4488,38155,"ok",8.50155971479501
"v621","p952",21355,113135,"ok",5.29782252399906
"v288","p952",4311,27705,"ok",6.42658315935978
"v253","p952",14144,43625,"ok",3.08434671945701
"v537","p952",13077,29615,"ok",2.2646631490403
"v264","p954",350,1780,"ok",5.08571428571429
"v376","p956",28363,55185,"ok",1.94566865282234
"v869","p958",548683,88590,"fraud",0.161459349023024
"v757","p958",136058,166190,"ok",1.22146437548692
"v18","p960",326891,604755,"ok",1.85002034317249
"v18","p960",212302,372655,"ok",1.75530612052642
"v598","p963",247002,348110,"ok",1.40934081505413
"v598","p963",178850,242565,"ok",1.35624825272575
"v590","p964",14238,77100,"ok",5.41508638853772
"v472","p965",12322,27035,"ok",2.19404317480928
"v287","p965",711,2685,"ok",3.77637130801688
"v376","p965",6211,21500,"ok",3.46160038641121
"v933","p965",1823,3210,"ok",1.76083379045529
"v661","p965",155,1400,"ok",9.03225806451613
"v933","p965",264,1385,"ok",5.24621212121212
"v264","p965",2600,6380,"ok",2.45384615384615
"v379","p965",12844,16600,"ok",1.29243226409218
"v871","p966",94022,132040,"ok",1.40435217289571
"v662","p968",37716,90355,"ok",2.39566762116873
"v277","p973",1766,19445,"ok",11.0107587768969
"v564","p977",133,1205,"ok",9.06015037593985
"v502","p980",11766,46780,"ok",3.97586265510794
"v502","p980",11877,51240,"ok",4.31422076281889
"v440","p980",6300,33400,"ok",5.3015873015873
"v397","p980",29400,99195,"ok",3.37397959183673
"v489","p980",23622,106240,"ok",4.49750232833799
"v621","p983",52277,232525,"ok",4.44794077701475
"v288","p985",54776,293335,"ok",5.35517379874398
"v147","p985",101,6550,"fraud",64.8514851485149
"v952","p991",28266,111435,"ok",3.94236892379537
"v945","p993",51155,236910,"ok",4.63121884468771
"v930","p993",1488,6910,"ok",4.64381720430108
"v921","p993",8433,34760,"ok",4.12190205146448
"v661","p993",1653,18460,"ok",11.167574107683
"v661","p993",1766,13610,"ok",7.70668176670442
"v901","p993",11211,41500,"ok",3.7017215235037
"v777","p993",301,2655,"ok",8.82059800664452
"v908","p993",2230,5815,"ok",2.60762331838565
"v544","p993",2877,34750,"ok",12.078554049357
"v945","p993",3433,10080,"ok",2.93620739877658
"v392","p993",8192,50745,"ok",6.1944580078125
"v252","p993",1766,6650,"ok",3.76557191392978
"v931","p993",211,1540,"ok",7.29857819905213
"v954","p993",655,8900,"ok",13.587786259542
"v908","p993",3433,16475,"ok",4.79900961258375
"v957","p994",108,1135,"ok",10.5092592592593
"v960","p998",34247,136270,"ok",3.97903465997022
"v946","p1000",22322,95280,"ok",4.26843472807096
"v667","p1000",111,39455,"fraud",355.45045045045
"v594","p1000",16416,83770,"ok",5.10294834307992
"v596","p1000",16788,174855,"ok",10.4154753395282
"v964","p1000",16766,55450,"ok",3.30728856018132
"v523","p1000",28600,38730,"ok",1.3541958041958
"v280","p1001",5516,24480,"ok",4.43799854967368
"v288","p1001",3866,35910,"ok",9.28867046042421
"v639","p1001",3833,25390,"ok",6.62405426558831
"v434","p1001",17322,62225,"ok",3.59225262671747
"v669","p1001",6455,25875,"ok",4.00852052672347
"v975","p1001",100,6100,"fraud",61
"v376","p1002",11713,34320,"ok",2.93007769145394
"v539","p1014",5586,55275,"ok",9.8952738990333
"v811","p1014",100,1010,"ok",10.1
"v816","p1014",812,63535,"ok",78.2450738916256
"v981","p1027",197,2570,"ok",13.0456852791878
"v803","p1027",1111,9415,"ok",8.47434743474347
"v803","p1027",148,2315,"ok",15.6418918918919
"v910","p1042",10498,32340,"ok",3.08058677843399
"v830","p1042",13005,149375,"ok",11.4859669357939
"v910","p1042",4288,37135,"ok",8.66021455223881
"v1020","p1044",2311,25940,"ok",11.2245781047166
"v615","p1059",25530,67235,"ok",2.63356835095966
"v615","p1059",13941,60580,"ok",4.34545584965211
"v1053","p1059",24986,71185,"ok",2.84899543744497
"v253","p1061",5657,26115,"ok",4.61640445465795
"v260","p1061",3158,66245,"ok",20.9768841038632
"v253","p1061",4822,27425,"ok",5.68747407714641
"v1002","p1068",12850,85665,"ok",6.66653696498055
"v260","p1077",3487,120090,"ok",34.4393461428162
"v472","p1078",6780,42985,"ok",6.33997050147493
"v988","p1086",3758,126520,"ok",33.6668440659925
"v629","p1096",16125,41130,"ok",2.5506976744186
"v1027","p1096",13593,26585,"ok",1.95578606635768
"v982","p1099",102,1145,"ok",11.2254901960784
"v1137","p1101",1838,31445,"ok",17.1082698585419
"v1044","p1101",24710,68775,"ok",2.78328611898017
"v1154","p1101",1034,8635,"ok",8.35106382978723
"v353","p1101",1319,32255,"ok",24.4541319181198
"v1094","p1101",337,6280,"ok",18.6350148367953
"v869","p1101",36839,112135,"ok",3.04392084475692
"v70","p1101",501,8400,"ok",16.7664670658683
"v1166","p1103",101,1030,"ok",10.1980198019802
"v795","p1103",5244,29160,"ok",5.56064073226545
"v529","p1103",108,1030,"ok",9.53703703703704
"v1187","p1103",107,1020,"ok",9.53271028037383
"v1189","p1103",107,1020,"ok",9.53271028037383
"v1195","p1103",100,1025,"ok",10.25
"v1197","p1104",15835,51885,"ok",3.27660246289864
"v256","p1109",3304,19625,"ok",5.93976997578693
"v685","p1109",7211,36825,"ok",5.10678130633754
"v39","p1114",103,1075,"ok",10.4368932038835
"v1119","p1114",100,1100,"ok",11
"v1225","p1115",10516,71395,"ok",6.78917839482693
"v747","p1121",108,1070,"ok",9.90740740740741
"v1249","p1121",100,1075,"ok",10.75
"v1251","p1121",106,1085,"ok",10.2358490566038
"v4","p1121",105,1070,"ok",10.1904761904762
"v1226","p1125",183,2055,"ok",11.2295081967213
"v277","p1125",138,1230,"ok",8.91304347826087
"v869","p1125",1583,3325,"ok",2.10044219835755
"v434","p1125",106,2400,"ok",22.6415094339623
"v891","p1125",103,1595,"ok",15.4854368932039
"v672","p1125",174,2595,"ok",14.9137931034483
"v645","p1125",425,5920,"ok",13.9294117647059
"v645","p1125",110,1065,"ok",9.68181818181818
"v539","p1125",432,4265,"ok",9.87268518518519
"v1184","p1125",104,1405,"ok",13.5096153846154
"v771","p1125",3288,32590,"ok",9.911800486618
"v641","p1125",256,3390,"ok",13.2421875
"v1055","p1125",255,1495,"ok",5.86274509803922
"v1127","p1125",101,1055,"ok",10.4455445544554
"v1142","p1125",168,1415,"ok",8.42261904761905
"v1271","p1125",126,1200,"ok",9.52380952380952
"v1272","p1125",118,1750,"ok",14.8305084745763
"v1036","p1125",105,1190,"ok",11.3333333333333
"v1273","p1125",113,1805,"ok",15.9734513274336
"v194","p1125",111,1025,"ok",9.23423423423423
"v796","p1125",106,1170,"ok",11.0377358490566
"v349","p1125",105,1130,"ok",10.7619047619048
"v1146","p1125",293,2180,"ok",7.44027303754266
"v1274","p1125",156,3235,"ok",20.7371794871795
"v1170","p1125",113,1245,"ok",11.0176991150442
"v15","p1125",107,1195,"ok",11.1682242990654
"v1275","p1125",138,1025,"ok",7.42753623188406
"v1276","p1125",960,8095,"ok",8.43229166666667
"v683","p1125",2322,23000,"ok",9.9052540913006
"v1277","p1125",152,11205,"ok",73.7171052631579
"v1278","p1125",493,2900,"ok",5.88235294117647
"v1279","p1125",170,3035,"ok",17.8529411764706
"v1279","p1125",172,3100,"ok",18.0232558139535
"v1205","p1125",101,1010,"ok",10
"v1280","p1125",137,2930,"ok",21.3868613138686
"v654","p1125",1455,69700,"ok",47.9037800687285
"v1172","p1125",272,2070,"ok",7.61029411764706
"v955","p1125",1323,11805,"ok",8.92290249433107
"v988","p1125",221,3020,"ok",13.6651583710407
"v1164","p1125",175,2210,"ok",12.6285714285714
"v1281","p1125",104,1065,"ok",10.2403846153846
"v818","p1125",206,1875,"ok",9.10194174757282
"v977","p1125",7492,172435,"ok",23.0158836091831
"v1282","p1125",160,1770,"ok",11.0625
"v356","p1125",441,6735,"ok",15.2721088435374
"v1241","p1125",713,3540,"ok",4.96493688639551
"v1283","p1125",101,1020,"ok",10.0990099009901
"v749","p1125",5528,107060,"ok",19.3668596237337
"v716","p1125",102,1270,"ok",12.4509803921569
"v23","p1125",116,1325,"ok",11.4224137931034
"v1130","p1125",4194,23530,"ok",5.61039580352885
"v1003","p1125",140,3565,"ok",25.4642857142857
"v933","p1125",473,3015,"ok",6.37420718816068
"v1284","p1125",119,1680,"ok",14.1176470588235
"v1285","p1125",105,2240,"ok",21.3333333333333
"v29","p1125",152,2005,"ok",13.1907894736842
"v1286","p1125",101,1035,"ok",10.2475247524752
"v43","p1125",145,1350,"ok",9.31034482758621
"v43","p1125",233,2210,"ok",9.48497854077253
"v43","p1125",108,1065,"ok",9.86111111111111
"v44","p1125",233,1970,"ok",8.4549356223176
"v44","p1125",118,1145,"ok",9.70338983050847
"v131","p1125",211,1155,"ok",5.4739336492891
"v764","p1125",151,2380,"ok",15.7615894039735
"v810","p1125",175,6530,"ok",37.3142857142857
"v1001","p1125",166,1435,"ok",8.64457831325301
"v1287","p1125",100,1085,"ok",10.85
"v1287","p1125",103,1510,"ok",14.6601941747573
"v846","p1125",213,4275,"ok",20.0704225352113
"v661","p1125",101,1480,"ok",14.6534653465347
"v1288","p1125",111,1200,"ok",10.8108108108108
"v913","p1125",200,2560,"ok",12.8
"v1132","p1125",270,1680,"ok",6.22222222222222
"v1289","p1125",397,3625,"ok",9.13098236775819
"v425","p1125",378,3935,"ok",10.4100529100529
"v426","p1125",138,1570,"ok",11.3768115942029
"v426","p1125",176,1970,"ok",11.1931818181818
"v426","p1125",288,3855,"ok",13.3854166666667
"v810","p1125",133,2530,"ok",19.0225563909774
"v661","p1125",101,1695,"ok",16.7821782178218
"v593","p1125",681,17665,"ok",25.9397944199706
"v593","p1125",129,1795,"ok",13.9147286821705
"v728","p1125",117,1300,"ok",11.1111111111111
"v154","p1125",794,6645,"ok",8.36901763224181
"v349","p1125",170,4450,"ok",26.1764705882353
"v1290","p1125",309,5605,"ok",18.1391585760518
"v169","p1125",538,2965,"ok",5.51115241635688
"v684","p1125",473,9465,"ok",20.0105708245243
"v727","p1125",544,8545,"ok",15.7077205882353
"v1291","p1125",559,7480,"ok",13.3810375670841
"v1292","p1125",110,1500,"ok",13.6363636363636
"v182","p1125",411,5550,"ok",13.5036496350365
"v933","p1125",1548,5620,"ok",3.63049095607235
"v1293","p1125",103,1125,"ok",10.9223300970874
"v1293","p1125",311,6455,"ok",20.7556270096463
"v455","p1125",3475,9875,"ok",2.84172661870504
"v160","p1125",281,1565,"ok",5.56939501779359
"v431","p1125",102,1310,"ok",12.843137254902
"v431","p1125",288,6600,"ok",22.9166666666667
"v1138","p1125",329,2420,"ok",7.35562310030395
"v1294","p1125",153,2880,"ok",18.8235294117647
"v370","p1125",113,1925,"ok",17.0353982300885
"v1296","p1125",100,1045,"ok",10.45
"v878","p1125",100,1165,"ok",11.65
"v136","p1125",138,5380,"ok",38.9855072463768
"v432","p1125",101,1245,"ok",12.3267326732673
"v539","p1125",322,4345,"ok",13.4937888198758
"v539","p1125",125,1610,"ok",12.88
"v377","p1125",113,1670,"ok",14.7787610619469
"v1297","p1125",290,24015,"ok",82.8103448275862
"v1298","p1125",1144,3540,"ok",3.09440559440559
"v593","p1125",236,1705,"ok",7.22457627118644
"v12","p1125",107,1055,"ok",9.85981308411215
"v1139","p1125",324,2020,"ok",6.23456790123457
"v805","p1125",106,1740,"ok",16.4150943396226
"v1140","p1125",196,1415,"ok",7.21938775510204
"v656","p1125",722,6760,"ok",9.36288088642659
"v260","p1125",1713,58620,"ok",34.2206654991243
"v982","p1125",322,1975,"ok",6.13354037267081
"v982","p1125",936,2045,"ok",2.18482905982906
"v1141","p1125",117,1080,"ok",9.23076923076923
"v771","p1125",448,3975,"ok",8.87276785714286
"v779","p1125",873,8565,"ok",9.81099656357388
"v979","p1125",116,3920,"ok",33.7931034482759
"v1299","p1125",101,1015,"ok",10.049504950495
"v1300","p1125",113,1665,"ok",14.7345132743363
"v1142","p1125",201,1675,"ok",8.33333333333333
"v1143","p1125",256,6870,"ok",26.8359375
"v1143","p1125",103,1055,"ok",10.2427184466019
"v1144","p1125",134,1400,"ok",10.4477611940299
"v1039","p1125",111,1075,"ok",9.68468468468468
"v1178","p1125",556,3745,"ok",6.73561151079137
"v747","p1125",102,1440,"ok",14.1176470588235
"v1301","p1125",655,2965,"ok",4.52671755725191
"v1302","p1125",103,1860,"ok",18.0582524271845
"v1302","p1125",102,1770,"ok",17.3529411764706
"v1109","p1125",643,4575,"ok",7.11508553654743
"v349","p1125",106,1460,"ok",13.7735849056604
"v1146","p1125",277,2850,"ok",10.2888086642599
"v1146","p1125",113,1685,"ok",14.9115044247788
"v15","p1125",350,19760,"ok",56.4571428571429
